Frequency (Hz),Level (dBm)
58.95,-88.48
58.96,-90.30
58.97,-87.90
58.98,-92.90
58.99,-102.34
59.00,-90.94
59.01,-86.15
59.02,-94.52
59.03,-91.75
59.04,-95.87
59.05,-90.79
59.06,-97.66
59.07,-90.44
59.08,-90.66
59.09,-89.56
59.10,-92.60
59.11,-95.92
59.12,-87.60
59.13,-91.72
59.14,-95.04
59.15,-95.97
59.16,-98.38
59.17,-95.82
59.18,-92.00
59.19,-86.02
59.20,-84.85
59.20,-92.11
59.21,-89.73
59.22,-98.25
59.23,-91.73
59.24,-94.88
59.25,-88.60
59.26,-92.64
59.27,-98.87
59.28,-86.90
59.29,-92.28
59.30,-89.20
59.31,-100.56
59.32,-93.85
59.33,-88.44
59.34,-89.68
59.35,-92.44
59.36,-93.16
59.37,-92.60
59.38,-93.46
59.39,-89.85
59.40,-96.09
59.41,-89.11
59.42,-87.12
59.43,-92.42
59.44,-90.15
59.45,-92.82
59.46,-100.68
59.47,-93.31
59.48,-95.87
59.49,-89.36
59.50,-96.25
59.51,-92.61
59.52,-90.94
59.53,-96.38
59.54,-91.48
59.55,-95.02
59.56,-95.55
59.57,-92.48
59.58,-90.27
59.59,-90.76
59.60,-87.63
59.61,-89.85
59.62,-94.33
59.63,-94.56
59.64,-95.03
59.65,-96.28
59.66,-89.96
59.67,-94.17
59.68,-96.75
59.69,-89.99
59.70,-98.27
59.71,-89.67
59.72,-92.77
59.73,-89.08
59.74,-87.70
59.75,-90.97
59.76,-94.51
59.77,-99.53
59.78,-97.26
59.79,-91.63
59.80,-87.79
59.81,-91.54
59.82,-88.80
59.83,-87.72
59.84,-85.91
59.85,-87.52
59.86,-86.95
59.87,-82.22
59.88,-84.40
59.89,-82.26
59.90,-81.99
59.91,-81.90
59.92,-86.12
59.93,-80.94
59.94,-84.33
59.95,-86.25
59.96,-86.47
59.97,-85.59
59.98,-88.00
59.99,-93.97
60.00,-91.06
60.01,-84.55
60.02,-89.96
60.03,-87.62
60.04,-92.78
60.05,-89.66
60.06,-92.49
60.07,-95.51
60.08,-96.59
60.09,-96.89
60.10,-90.54
60.11,-89.52
60.12,-87.61
60.13,-90.32
60.14,-87.19
60.15,-88.43
60.16,-87.55
60.17,-87.93
60.18,-91.60
60.19,-94.03
60.20,-91.53
60.21,-88.13
60.22,-92.88
60.23,-87.17
60.24,-92.16
60.25,-89.99
60.26,-91.49
60.27,-87.46
60.28,-89.33
60.29,-92.84
60.30,-92.13
60.31,-89.43
60.32,-92.31
60.33,-94.94
60.34,-90.24
60.35,-90.05
60.36,-89.00
60.37,-92.40
60.38,-86.71
60.39,-92.72
60.40,-91.34
60.41,-87.90
60.42,-90.29
60.43,-89.43
60.44,-86.90
60.45,-93.15
