Zone_1,Zone_2,Type,Order,Distance,Frequency_MHz,Severity,Device_1,Device_2,Parent_Freq1,Parent_Freq2
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,45.015,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR4 RF 1,683.7,470.805
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,45.615,Medium,Lectrosonics 100 KHz Block 26 - 'B/2,Senn EM3732 A - ACR4 RF 1,683.4,470.805
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,45.95,Medium,Shure PSM-1000 L8 - ',Senn EM3732 A - ACR2 RF 20,688.775,474.5
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,45.955,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR2 RF 19,684.1,471.385
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,46.125,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',475.375,690.0
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,46.125,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Shure PSM-1000 L8 - ',475.375,690.0
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,46.265,Medium,Generic - 662-698,Senn EM3732 A - ACR2 RF 21,695.69,479.215
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,46.675,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,474.025,687.7
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,46.675,Medium,Shure PSM-1000 G10 - NAME GOES HERE,Lectrosonics 100 KHz Block 26 - 'D/D,474.025,687.7
Parking Lot   East and West Stage,Zone 1,Cross-Zone,3f2-2f1,47.8,46.755,Medium,RFWS Senn  36Mhz 662-698 - ',Senn EM3732 A - ACR2 RF 19,683.7,471.385
Zone 1,Zone 3,Cross-Zone,3f1-2f2,73.98,47.115,Medium,Senn EM3732 A - ACR4 RF 1,Generic - Mathew McNiven #4,470.805,682.65
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f2-2f1,0.0,47.2,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',471.8,684.1
Parking Lot   East and West Stage,Parking Lot   East and West Stage,Intra-Zone,3f1-2f2,0.0,47.2,Medium,Shure PSM-1000 G10 - NAME GOES HERE,RFWS Senn  36Mhz 662-698 - ',471.8,684.1
