Frequency (Hz),Average,Median,Range,Std Dev,Variance,PSD (dBm/Hz)
,-81.725,-81.725,12.680,8.966,80.391,-121.725
,-81.925,-81.925,13.081,9.250,85.556,-121.925
,-83.686,-83.686,16.603,11.740,137.830,-123.686
,-84.144,-84.144,17.519,12.388,153.458,-124.144
,-83.440,-83.440,16.110,11.391,129.766,-123.440
,-84.081,-84.081,17.391,12.297,151.223,-124.081
,-83.700,-83.700,16.630,11.759,138.278,-123.700
,-82.686,-82.686,14.602,10.325,106.609,-122.686
,-83.670,-83.670,16.570,11.717,137.282,-123.670
,-83.638,-83.638,16.505,11.671,136.208,-123.637
59.438,,,,,,
,-81.886,-81.886,13.001,9.193,84.513,-121.886
,-83.067,-83.067,15.365,10.865,118.042,-123.067
,-83.393,-83.393,16.016,11.325,128.256,-123.393
,-82.988,-82.988,15.205,10.752,115.596,-122.988
,-80.257,-80.257,9.743,6.889,47.463,-120.257
,-83.444,-83.444,16.117,11.396,129.879,-123.444
,-81.500,-81.500,12.229,8.647,74.774,-121.500
,-83.511,-83.511,16.251,11.491,132.048,-123.511
,-82.162,-82.162,13.555,9.585,91.869,-122.162
59.546,,,,,,
,-82.365,-82.365,13.961,9.872,97.455,-122.365
,-84.323,-84.323,17.876,12.640,159.776,-124.323
,-84.276,-84.276,17.783,12.574,158.118,-124.276
,-83.803,-83.803,16.837,11.906,141.742,-123.803
,-82.552,-82.552,14.333,10.135,102.717,-122.552
,-84.520,-84.520,18.271,12.920,166.915,-124.520
,-85.597,-85.597,20.425,14.443,208.590,-125.597
,-84.434,-84.434,18.099,12.798,163.787,-124.435
,-84.163,-84.163,17.557,12.415,154.124,-124.163
59.655,,,,,,
,-80.945,-80.945,11.120,7.863,61.827,-120.945
,-83.573,-83.573,16.377,11.580,134.103,-123.573
,-85.779,-85.779,20.787,14.699,216.050,-125.779
,-85.296,-85.296,19.822,14.016,196.456,-125.296
,-84.873,-84.873,18.976,13.418,180.044,-124.873
,-84.706,-84.706,18.642,13.182,173.762,-124.706
,-84.904,-84.904,19.038,13.462,181.223,-124.904
,-84.881,-84.881,18.991,13.429,180.329,-124.881
,-85.308,-85.308,19.845,14.033,196.912,-125.308
